distance,perc,amenity
0.4331,5.517576788,supermarket
0.4336,5.526111946,supermarket
0.4342,5.529976923,supermarket
0.4344,5.54302122,supermarket
0.436,5.552522622,supermarket
0.437,5.565244838,supermarket
0.4373,5.586502212,supermarket
0.4375,5.604377731,supermarket
0.4376,5.607115423,supermarket
0.4377,5.623380534,supermarket
0.4378,5.634653384,supermarket
0.4389,5.652367862,supermarket
0.4389,5.673464195,supermarket
0.4392,5.67459148,supermarket
0.4399,5.692466999,supermarket
0.4401,5.709376273,supermarket
0.4402,5.739168804,supermarket
0.4402,5.746737718,supermarket
0.4402,5.752535183,supermarket
0.4408,5.768800295,supermarket
0.4414,5.771537987,supermarket
0.4424,5.778784819,supermarket
0.4426,5.800364274,supermarket
0.4434,5.823715177,supermarket
0.4448,5.82677495,supermarket
0.4448,5.834343864,supermarket
0.445,5.843040062,supermarket
0.4455,5.845294632,supermarket
0.4456,5.858016848,supermarket
0.4457,5.871544268,supermarket
0.4464,5.885071687,supermarket
0.4466,5.898438066,supermarket
0.4467,5.916796707,supermarket
0.4468,5.94465675,supermarket
0.4482,5.950454215,supermarket
0.4485,5.958667292,supermarket
0.4486,5.97638177,supermarket
0.449,5.984916927,supermarket
0.449,5.985077968,supermarket
0.4491,5.994096248,supermarket
0.4492,6.002148283,supermarket
0.4495,6.008750952,supermarket
0.4498,6.01503154,supermarket
0.4499,6.01744715,supermarket
0.4502,6.018735476,supermarket
0.4515,6.035644751,supermarket
0.4515,6.043213664,supermarket
0.4524,6.053198188,supermarket
0.4525,6.071556829,supermarket
0.4531,6.084762167,supermarket
0.4531,6.088788185,supermarket
0.4533,6.102154564,supermarket
0.4535,6.112461169,supermarket
0.4538,6.11487678,supermarket
0.4543,6.125344426,supermarket
0.4544,6.132752298,supermarket
0.4544,6.13307438,supermarket
0.455,6.146118677,supermarket
0.4553,6.150949899,supermarket
0.4557,6.156425283,supermarket
0.4557,6.161095463,supermarket
0.4558,6.182191796,supermarket
0.4558,6.188150303,supermarket
0.4558,6.198456908,supermarket
0.4563,6.217298671,supermarket
0.4566,6.228249439,supermarket
0.4566,6.228732561,supermarket
0.4571,6.236462515,supermarket
0.4574,6.242743103,supermarket
0.4575,6.262067988,supermarket
0.4598,6.276883733,supermarket
0.4602,6.294598211,supermarket
0.4606,6.301200881,supermarket
0.4609,6.313439974,supermarket
0.4629,6.329060923,supermarket
0.4634,6.336790877,supermarket
0.4635,6.352894948,supermarket
0.4643,6.358531373,supermarket
0.4648,6.366261327,supermarket
0.4648,6.50314593,supermarket
0.465,6.508943396,supermarket
0.465,6.51441878,supermarket
