geoid10,hospital,library,school,supermarket
245100201002001,1204.8,1438.7,347.9,362.3
245100201002002,1673.3,1567.9,117.5,697.1
245100201002003,1727.9,1513.8,513.3,76.2
245100201002004,1581.5,1815.5,366.9,496.6
245100201002005,1524.9,1758.8,310.3,440.8
245100201002006,1335.8,1569.7,121.2,493.3
245100201002007,1907.0,1797.8,570.6,596.3
245100201002008,1402.0,1635.9,187.4,559.6
245100201002009,1776.2,1788.8,561.6,587.3
245100201002010,1438.4,1672.3,223.8,595.9
245100201002011,1692.1,1706.4,477.5,382.0
245100201002012,1505.3,1739.3,290.8,449.5
245100201002013,1535.9,1689.6,321.3,363.2
245100201002014,1797.2,1688.1,582.6,486.6
245100202001000,1096.5,963.6,502.4,407.0
245100202001001,1154.5,906.9,615.9,520.6
245100202001002,1176.4,842.9,622.8,527.5
245100202001003,1222.6,702.1,536.2,668.3
245100202001004,1346.2,1249.2,379.9,284.5
245100202001005,1403.9,1192.5,437.5,342.1
245100202001006,1347.4,989.3,532.3,537.9
245100202001007,1389.4,1031.2,574.2,579.8
245100202001008,1339.6,786.7,587.8,787.0
245100202001009,1381.0,919.5,462.5,571.4
245100202002000,1900.7,1458.6,686.1,815.0
245100202002001,1841.2,1399.1,626.6,755.5
245100202002002,1501.9,1142.1,535.6,440.2
245100202002003,1597.6,1044.7,587.7,536.1
245100202002004,1745.5,1192.7,580.6,684.1
245100202002005,1734.3,1323.9,519.7,648.7
245100202002006,1695.1,1709.2,480.5,609.4
245100202002007,1861.7,1419.6,647.1,776.0
245100202002008,1747.2,1651.9,532.6,437.0
245100202002009,1806.1,1595.2,591.6,495.4
245100202002010,1837.1,1626.1,622.5,526.3
245100202002011,1839.6,1474.1,625.0,624.1
245100202002012,1900.6,1436.9,686.0,590.4
245100203001000,1778.7,1532.9,564.1,331.4
245100203001001,1568.6,1669.8,354.0,329.4
245100203001002,1751.2,1703.8,536.6,215.4
245100203001003,1806.6,1759.2,592.0,270.7
245100203001004,1864.5,1766.8,649.9,328.6
245100203001005,1798.8,1587.8,584.2,384.4
245100203001006,1862.9,1651.9,648.3,416.9
245100203001007,1971.1,1418.3,757.7,661.9
245100203001009,2006.9,1608.2,792.3,471.0
245100203001010,2005.1,1606.4,790.5,469.3
245100203001011,1979.3,1772.3,764.7,443.4
245100203001012,1980.7,1773.7,766.1,444.8
245100203001013,1746.0,1698.6,531.4,210.1
245100203001014,1677.0,1547.6,462.4,141.2
245100203001015,1807.9,1598.4,593.3,272.0
245100203001016,1896.4,1461.6,681.8,360.6
245100203001018,1770.2,1722.8,555.6,234.3
245100203002000,2138.0,1418.9,837.3,600.0
245100203002001,2142.2,1217.9,636.3,696.5
245100203002002,2278.7,1275.9,694.3,634.1
245100203002003,2216.0,1097.7,516.1,571.3
245100203002010,2257.6,1332.6,751.0,582.7
245100203002011,2256.8,1331.8,750.2,583.4
245100203002012,2182.3,1407.4,825.8,644.3
245100203002013,2292.9,1765.0,937.7,651.0
245100203002014,2367.8,1690.7,863.4,576.7
245100203002015,2544.3,1864.7,1037.4,750.7
245100203002017,2290.7,1322.6,741.0,454.3
245100203002018,2466.0,1497.9,916.3,629.6
245100203002021,2524.4,1556.3,974.7,688.0
245100203002022,2508.3,1831.2,1004.0,717.3
245100203002023,2432.5,1902.6,1075.4,788.7
245100203002024,2526.7,1863.4,1281.8,990.9
245100203002025,2466.1,1820.4,1238.8,930.3
245100203003000,1782.9,1575.9,568.3,247.1
245100203003001,1969.0,1761.9,754.4,433.1
245100203003002,2027.9,1815.1,813.3,492.1
245100203003003,2121.9,1720.7,907.3,586.0
245100203003004,2199.7,1646.9,983.4,662.2
245100203003006,2404.2,1941.5,1114.2,827.5
245100203003007,2338.7,1785.9,973.8,652.6
245100203003008,2027.9,1820.9,813.3,492.0
245100203003009,2128.1,1921.1,913.5,592.3
245100203003011,2235.4,2028.4,1020.8,699.6
245100203003012,2206.9,1999.9,992.3,671.0
245100203003014,2251.0,2036.8,1036.4,715.2
245100301001000,1672.7,1119.8,662.8,611.2
245100301001003,1732.2,601.6,327.1,897.0
245100301001004,1928.6,834.5,272.1,814.8
245100301001005,1988.6,792.5,210.9,901.4
245100301001006,2046.6,850.5,268.9,959.4
245100301001007,1916.6,720.5,138.9,829.4
245100301001008,2030.7,834.6,253.0,831.4
245100301001009,1874.6,807.3,225.7,813.2
245100301001010,1773.3,1026.5,444.9,711.9
245100301001011,2028.9,1102.1,520.5,967.4
245100301001012,2027.9,1101.1,519.5,966.4
245100301001013,1924.5,1101.6,520.0,839.5
245100301001014,1972.2,1053.6,472.0,887.2
245100301001015,1958.1,1031.4,449.8,896.6
245100301001016,1933.6,1006.9,425.3,872.1
245100301001017,2099.6,903.5,321.9,832.2
245100301001018,2120.7,924.6,343.0,847.5
245100301001019,2132.3,1001.7,434.8,678.6
245100301001020,2039.0,908.5,474.7,590.1
245100301001021,1935.8,841.6,279.2,807.7
245100301001023,2017.4,1099.2,532.2,553.1
245100301001025,2151.2,982.7,401.1,686.4
245100301001026,2204.4,1160.4,578.8,746.5
245100301001027,1996.6,1442.6,705.0,911.6
245100301001029,1982.2,1063.4,569.0,517.2
245100301002000,1234.8,648.7,655.4,1043.2
245100301002001,1170.6,551.5,558.2,995.0
245100301002002,1270.5,420.4,427.1,1096.4
245100301002003,1416.9,220.8,360.8,1149.7
245100301002004,1430.9,234.8,346.8,1135.6
245100301002005,1415.8,306.2,520.2,1338.9
245100301002009,1548.0,466.8,440.7,1229.5
245100301002010,1496.9,387.3,386.1,1174.9
245100301002011,1549.4,353.2,289.5,1016.1
245100301002012,1485.1,432.8,402.9,949.5
245100301002013,1284.0,637.4,471.4,868.5
245100301002015,1210.4,714.5,723.5,958.3
245100301002016,1603.8,407.7,241.8,1030.6
245100301002017,1567.8,458.3,352.7,1141.6
245100301002019,1603.5,407.4,241.4,1030.3
245100301002022,1312.3,610.7,444.7,759.8
245100301002023,1339.6,740.6,575.0,809.8
245100301002024,1772.9,899.6,476.5,711.4
245100301002026,1650.8,454.7,193.9,986.9
245100301002028,1671.7,648.2,349.1,1039.6
245100302001000,1610.0,381.6,638.0,1310.3
245100302001001,1415.2,509.1,765.5,1437.7
245100302001005,1453.4,786.5,995.7,1664.8
245100302001010,1386.8,986.7,995.9,1120.0
245100302001011,1094.3,853.4,862.6,1213.7
245100302001012,1271.8,782.9,792.0,1151.7
245100302001013,1287.2,660.6,669.7,1342.0
245100302001014,1439.6,508.1,517.3,1189.5
245100302001016,1829.0,698.4,393.0,962.8
245100302001017,1477.8,718.6,727.8,1066.0
245100302001018,1379.3,890.5,899.6,1185.7
245100302001019,1328.7,839.8,849.0,1092.5
245100302001020,1243.6,953.7,962.8,1204.0
245100302001021,1181.8,891.9,901.0,1164.5
245100302001027,1375.5,886.7,689.5,1060.4
245100302001028,1274.5,984.6,726.7,1097.6
245100302001029,1492.9,943.6,640.7,1011.6
245100302001030,1500.4,967.3,710.7,1233.7
245100302001031,1533.7,944.4,510.7,881.6
245100302001032,1733.4,865.7,431.9,865.0
245100302001033,1822.2,691.6,386.2,956.0
245100302001036,1305.2,1175.3,741.5,1038.4
245100302001037,1442.4,1112.0,746.6,1175.6
245100302001040,1712.5,1185.7,751.9,880.2
245100302001041,1532.2,1042.3,608.5,979.4
245100302001042,1641.7,971.4,537.6,836.4
245100302001043,1650.4,904.9,471.1,828.0
245100302002000,1933.2,802.6,368.9,726.9
