,pop_perc,distance,day,service,pop_perc_cum
9,2.3698974179318784,8,6,gas_station,98.68503505750813
10,0.574341160623091,9,6,gas_station,99.25937621813122
11,0.40707169889523204,10,6,gas_station,99.66644791702646
12,0.22549305017590432,11,6,gas_station,99.89194096720236
13,0.09868404821702595,12,6,gas_station,99.99062501541938
14,0.009374984580617467,13,6,gas_station,100.0
15,0.0,14,6,gas_station,100.0
16,0.0,15,6,gas_station,100.0
17,0.0,16,6,gas_station,100.0
18,0.0,17,6,gas_station,100.0
19,0.0,18,6,gas_station,100.0
20,0.0,19,6,gas_station,100.0
0,0.0,0,7,gas_station,0.0
1,11.153764549729358,0,7,gas_station,11.153764549729358
2,27.261961740194508,1,7,gas_station,38.41572628992387
3,30.276265992983564,2,7,gas_station,68.69199228290744
4,17.049643010455576,3,7,gas_station,85.741635293363
5,4.670222581870753,4,7,gas_station,90.41185787523375
6,3.5832177907602123,5,7,gas_station,93.99507566599397
7,2.246542357660596,6,7,gas_station,96.24161802365457
8,1.0578929968865183,7,7,gas_station,97.29951102054109
9,1.5226948639887106,8,7,gas_station,98.8222058845298
10,0.6207226632850933,9,7,gas_station,99.44292854781489
11,0.34045996634873954,10,7,gas_station,99.78338851416363
12,0.1440787103968579,11,7,gas_station,99.92746722456049
13,0.06315779085889661,12,7,gas_station,99.99062501541938
14,0.009374984580617467,13,7,gas_station,100.0
15,0.0,14,7,gas_station,100.0
16,0.0,15,7,gas_station,100.0
17,0.0,16,7,gas_station,100.0
18,0.0,17,7,gas_station,100.0
19,0.0,18,7,gas_station,100.0
20,0.0,19,7,gas_station,100.0
0,0.0,0,8,gas_station,0.0
1,11.517908687650184,0,8,gas_station,11.517908687650184
2,28.45209136169184,1,8,gas_station,39.97000004934202
3,29.957023097001485,2,8,gas_station,69.9270231463435
4,16.37415070041003,3,8,gas_station,86.30117384675353
5,4.110684028480216,4,8,gas_station,90.41185787523375
6,3.5787770085904462,5,8,gas_station,93.9906348838242
7,2.250983139830362,6,8,gas_station,96.24161802365457
8,1.0578929968865183,7,8,gas_station,97.29951102054109
9,1.5226948639887106,8,8,gas_station,98.8222058845298
10,0.6207226632850933,9,8,gas_station,99.44292854781489
11,0.34045996634873954,10,8,gas_station,99.78338851416363
12,0.1440787103968579,11,8,gas_station,99.92746722456049
13,0.06315779085889661,12,8,gas_station,99.99062501541938
14,0.009374984580617467,13,8,gas_station,100.0
15,0.0,14,8,gas_station,100.0
16,0.0,15,8,gas_station,100.0
17,0.0,16,8,gas_station,100.0
18,0.0,17,8,gas_station,100.0
19,0.0,18,8,gas_station,100.0
20,0.0,19,8,gas_station,100.0
0,0.0,0,9,gas_station,0.0
1,13.186162522759009,0,9,gas_station,13.186162522759009
2,31.717053096952142,1,9,gas_station,44.90321561971115
3,29.748799755263562,2,9,gas_station,74.65201537497471
4,16.817242076904478,3,9,gas_station,91.46925745187919
5,4.6968672748893505,4,9,gas_station,96.16612472676854
6,2.5450616035170994,5,9,gas_station,98.71118633028564
7,0.9355247770974061,6,9,gas_station,99.64671110738306
8,0.1307563638875594,7,9,gas_station,99.77746747127061
9,0.1095392935208988,8,9,gas_station,99.88700676479151
10,0.11299323520849473,9,9,gas_station,100.0
11,0.0,10,9,gas_station,100.0
12,0.0,11,9,gas_station,100.0
13,0.0,12,9,gas_station,100.0
14,0.0,13,9,gas_station,100.0
15,0.0,14,9,gas_station,100.0
16,0.0,15,9,gas_station,100.0
17,0.0,16,9,gas_station,100.0
18,0.0,17,9,gas_station,100.0
19,0.0,18,9,gas_station,100.0
20,0.0,19,9,gas_station,100.0
0,0.0,0,10,gas_station,0.0
1,14.395535533658663,0,10,gas_station,14.395535533658663
2,32.125605056570635,1,10,gas_station,46.521140590229294
3,30.5471537053393,2,10,gas_station,77.06829429556859
4,14.6299101481741,3,10,gas_station,91.6982044437427
5,4.481242629535149,4,10,gas_station,96.17944707327784
6,2.5450616035170994,5,10,gas_station,98.72450867679494
7,0.9222024305881076,6,10,gas_station,99.64671110738304
8,0.1307563638875594,7,10,gas_station,99.7774674712706
9,0.1095392935208988,8,10,gas_station,99.8870067647915
10,0.11299323520849473,9,10,gas_station,99.99999999999999
11,0.0,10,10,gas_station,99.99999999999999
12,0.0,11,10,gas_station,99.99999999999999
13,0.0,12,10,gas_station,99.99999999999999
14,0.0,13,10,gas_station,99.99999999999999
15,0.0,14,10,gas_station,99.99999999999999
16,0.0,15,10,gas_station,99.99999999999999
17,0.0,16,10,gas_station,99.99999999999999
18,0.0,17,10,gas_station,99.99999999999999
19,0.0,18,10,gas_station,99.99999999999999
20,0.0,19,10,gas_station,99.99999999999999
0,0.0,0,11,gas_station,0.0
1,16.738788258571944,0,11,gas_station,16.738788258571944
2,33.27823473974549,1,11,gas_station,50.01702299831744
3,28.060809110511332,2,11,gas_station,78.07783210882877
4,13.678102503120884,3,11,gas_station,91.75593461194966
5,4.423512461328189,4,11,gas_station,96.17944707327784
6,2.5504892261690357,5,11,gas_station,98.72993629944688
7,0.9167748079361712,6,11,gas_station,99.64671110738304
8,0.1307563638875594,7,11,gas_station,99.7774674712706
9,0.1095392935208988,8,11,gas_station,99.8870067647915
10,0.11299323520849473,9,11,gas_station,99.99999999999999
11,0.0,10,11,gas_station,99.99999999999999
12,0.0,11,11,gas_station,99.99999999999999
13,0.0,12,11,gas_station,99.99999999999999
14,0.0,13,11,gas_station,99.99999999999999
15,0.0,14,11,gas_station,99.99999999999999
16,0.0,15,11,gas_station,99.99999999999999
17,0.0,16,11,gas_station,99.99999999999999
18,0.0,17,11,gas_station,99.99999999999999
19,0.0,18,11,gas_station,99.99999999999999
20,0.0,19,11,gas_station,99.99999999999999
0,0.0,0,12,gas_station,0.0
1,18.078917633359158,0,12,gas_station,18.078917633359158
2,32.926426107851796,1,12,gas_station,51.00534374121095
3,27.4015996684216,2,12,gas_station,78.40694340963255
4,13.348991202317102,3,12,gas_station,91.75593461194964
5,4.423512461328189,4,12,gas_station,96.17944707327783
6,2.5504892261690357,5,12,gas_station,98.72993629944686
7,0.9167748079361712,6,12,gas_station,99.64671110738303
8,0.1307563638875594,7,12,gas_station,99.77746747127058
9,0.1095392935208988,8,12,gas_station,99.88700676479148
10,0.11299323520849473,9,12,gas_station,99.99999999999997
11,0.0,10,12,gas_station,99.99999999999997
12,0.0,11,12,gas_station,99.99999999999997
13,0.0,12,12,gas_station,99.99999999999997
14,0.0,13,12,gas_station,99.99999999999997
15,0.0,14,12,gas_station,99.99999999999997
16,0.0,15,12,gas_station,99.99999999999997
17,0.0,16,12,gas_station,99.99999999999997
18,0.0,17,12,gas_station,99.99999999999997
19,0.0,18,12,gas_station,99.99999999999997
20,0.0,19,12,gas_station,99.99999999999997
0,0.0,0,13,gas_station,0.0
1,20.279571908598832,0,13,gas_station,20.279571908598832
2,32.936787932914584,1,13,gas_station,53.216359841513416
3,27.606862488713013,2,13,gas_station,80.82322233022643
4,11.963960585591142,3,13,gas_station,92.78718291581757
5,4.7856829182846745,4,13,gas_station,97.57286583410225
6,1.905095550829686,5,13,gas_station,99.47796138493193
7,0.1687497224511144,6,13,gas_station,99.64671110738304
8,0.1307563638875594,7,13,gas_station,99.7774674712706
9,0.1095392935208988,8,13,gas_station,99.8870067647915
10,0.11299323520849473,9,13,gas_station,99.99999999999999
11,0.0,10,13,gas_station,99.99999999999999
12,0.0,11,13,gas_station,99.99999999999999
